City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,17.16,99,100,1.54,ZA,1683839576
1,ushuaia,-54.8,-68.3,9.81,57,75,5.14,AR,1683839577
2,grytviken,-54.2811,-36.5092,-4.16,76,12,4.84,GS,1683839577
3,masuguru,-11.3667,38.4167,24.23,68,98,1.63,TZ,1683839577
4,cambria,35.5641,-121.0808,25.86,77,9,2.68,US,1683839578
5,kamikawa,43.84,142.7711,3.69,72,51,1.47,JP,1683839578
6,blackmans bay,-43.0167,147.3167,8.19,85,100,2.84,AU,1683839578
7,ribeira grande,38.5167,-28.7,15.99,82,2,2.24,PT,1683839578
8,hadibu,12.65,54.0333,28.73,71,91,1.21,YE,1683839358
9,posto fiscal rolim de moura,-13.0833,-62.2667,27.15,71,100,1.04,BR,1683839579
10,puerto natales,-51.7236,-72.4875,7.2,91,100,1.07,CL,1683839308
11,nguruka,-5.1092,31.0419,18.75,91,96,0.38,TZ,1683839579
12,lihue,21.9789,-159.3672,26.58,72,75,5.14,US,1683839166
13,port-aux-francais,-49.35,70.2167,7.99,91,100,18.16,TF,1683839585
14,nemuro,43.3236,145.575,3.74,79,4,4.14,JP,1683839432
15,akureyri,65.6835,-18.0878,11.55,76,100,7.16,IS,1683839449
16,thompson,55.7435,-97.8558,21.55,27,36,4.79,CA,1683839302
17,amasra,41.7463,32.3863,11.1,91,96,5.39,TR,1683839586
18,amga,60.8953,131.9608,-0.3,82,100,2.98,RU,1683839586
19,waitangi,-43.9535,-176.5597,9.34,85,35,1.34,NZ,1683839587
20,ust'-ilimsk,58.0006,102.6619,2.29,59,100,2.36,RU,1683839587
21,papatowai,-46.5619,169.4708,10.43,89,100,5.38,NZ,1683839587
22,kill devil hills,36.0307,-75.676,24.0,54,0,5.66,US,1683839588
23,carnarvon,-24.8667,113.6333,21.61,55,0,4.1,AU,1683839460
24,mananjary,-21.2167,48.3333,22.19,91,100,1.7,MG,1683839588
25,lashio,22.9333,97.75,19.4,85,100,0.78,MM,1683839588
26,ust-nera,64.5667,143.2,2.63,77,99,1.94,RU,1683839589
27,whitehorse,60.7161,-135.0538,15.57,33,75,8.23,CA,1683839066
28,albany,42.6001,-73.9662,25.76,29,4,1.79,US,1683839530
29,hawaiian paradise park,19.5933,-154.9731,26.73,72,40,4.12,US,1683839589
30,port lincoln,-34.7333,135.8667,13.82,69,12,4.21,AU,1683839517
31,minas de marcona,-15.2119,-75.1103,18.67,64,32,5.36,PE,1683839590
32,lebu,-37.6167,-73.65,14.56,89,98,3.69,CL,1683839423
33,cole harbour,44.6724,-63.4751,13.43,69,29,4.02,CA,1683839591
34,diapaga,12.0708,1.7889,31.49,42,100,6.21,BF,1683839591
35,adamstown,-25.066,-130.1015,21.36,58,92,7.8,PN,1683839591
36,champerico,14.3,-91.9167,30.96,63,2,5.38,GT,1683839592
37,klyuchi,52.2667,79.1667,9.9,67,96,3.54,RU,1683839332
38,el soberbio,-27.2985,-54.1988,16.83,67,96,1.09,AR,1683839592
39,wardha,20.75,78.6167,32.66,13,92,1.24,IN,1683839593
40,santa rosa,14.3122,121.1114,27.99,82,79,3.49,PH,1683839300
41,tiksi,71.6872,128.8694,-11.65,84,98,8.35,RU,1683839306
42,invercargill,-46.4,168.35,8.34,95,100,1.34,NZ,1683839593
43,edinburgh of the seven seas,-37.0676,-12.3116,16.69,81,90,10.71,SH,1683839594
44,maslyanino,54.3436,84.2111,5.84,94,73,2.81,RU,1683839594
45,howrah,22.5892,88.3103,30.0,79,40,2.06,IN,1683839594
46,grande prairie,55.1667,-118.8027,20.1,37,40,1.03,CA,1683838970
47,kamaishi,39.2667,141.8833,8.62,71,1,1.53,JP,1683839595
48,college,64.8569,-147.8028,16.18,46,75,5.14,US,1683839316
49,sinabang,2.4803,96.3801,28.01,82,94,4.45,ID,1683839595
50,olonkinbyen,70.9221,-8.7187,-0.42,80,58,4.58,SJ,1683839595
51,kosh-agach,50.0,88.6667,5.46,67,68,0.51,RU,1683839596
52,saint-francois,46.4154,3.9054,10.69,87,75,1.03,FR,1683839596
53,cururupu,-1.8283,-44.8683,25.36,88,46,1.51,BR,1683839596
54,kutum,14.2,24.6667,28.11,32,98,3.63,SD,1683839597
55,taulaga,-11.0553,-171.0883,28.45,71,65,5.97,AS,1683839597
56,punta arenas,-53.15,-70.9167,7.06,81,75,4.12,CL,1683839597
57,zeerust,-25.5369,26.0751,15.42,35,1,1.62,ZA,1683839597
58,severo-yeniseyskiy,60.3725,93.0408,-0.78,97,100,1.33,RU,1683839598
59,iskateley,67.6803,53.1512,0.3,98,100,5.13,RU,1683839598
60,puerto ayora,-0.7393,-90.3518,27.98,92,87,4.02,EC,1683839598
61,betio village,1.358,172.9211,30.02,82,82,4.88,KI,1683839599
62,muncie,40.1934,-85.3864,28.17,30,46,2.24,US,1683839341
63,dudinka,69.4058,86.1778,-16.32,98,34,5.65,RU,1683839599
64,kodiak,57.79,-152.4072,6.73,81,100,7.2,US,1683839599
65,vuktyl,63.8567,57.3094,1.66,77,95,3.15,RU,1683839600
66,saldanha,-33.0117,17.9442,14.23,63,95,10.74,ZA,1683839600
67,chernyshevskiy,63.0128,112.4714,-4.31,90,34,2.42,RU,1683839600
68,ilulissat,69.2167,-51.1,-1.99,80,100,7.72,GL,1683839601
69,hays,30.0502,-98.0336,32.14,67,70,3.13,US,1683839601
70,zapala,-38.8992,-70.0544,16.92,25,67,1.76,AR,1683839601
71,vorgashor,67.5833,63.95,-12.75,98,83,1.86,RU,1683839602
72,port alfred,-33.5906,26.891,17.32,96,82,0.89,ZA,1683839307
73,iqaluit,63.7506,-68.5145,-2.39,68,6,4.92,CA,1683839602
74,lubuklinggau,-3.3,102.8667,23.27,99,95,0.41,ID,1683839602
75,cabo san lucas,22.8909,-109.9124,31.17,17,0,6.17,MX,1683839603
76,bethel,41.3712,-73.414,27.05,33,75,3.09,US,1683839603
77,port shepstone,-30.7414,30.455,21.2,78,77,4.76,ZA,1683839604
78,nar'yan-mar,67.6713,53.087,0.37,98,100,5.06,RU,1683839605
79,anadyr,64.75,177.4833,4.28,60,0,2.0,RU,1683839605
80,alice,27.7523,-98.0697,33.85,62,20,6.17,US,1683839606
81,lorengau,-2.0226,147.2712,27.36,81,94,2.58,PG,1683839606
82,acarau,-2.8856,-40.12,26.51,83,44,3.94,BR,1683839607
83,inyonga,-6.7167,32.0667,18.19,85,65,1.3,TZ,1683839607
84,margaret river,-33.95,115.0667,10.59,73,75,4.22,AU,1683839607
85,northam,51.0333,-4.2167,9.78,91,12,1.18,GB,1683839608
86,nueva gerona,21.8833,-82.8,30.15,59,100,5.04,CU,1683839608
87,kerikeri,-35.2268,173.9474,11.62,96,24,1.61,NZ,1683839609
